id;name;description;file;file_content_type;archived;archive_url;opportunity_id
1;Principal Ukraine disintermediate;capability Pre-emptive;../fake-data/blob/hipster.png;image/png;true;flexibility Engineer;1
2;Fresh;SMTP AGP;../fake-data/blob/hipster.png;image/png;false;Gorgeous indexing implement;2
3;Operations deposit;Principal;../fake-data/blob/hipster.png;image/png;true;framework;3
4;deposit Mandatory;Trinidad and Tobago Dollar deposit Coordinator;../fake-data/blob/hipster.png;image/png;true;Frozen lavender Highway;4
5;Frozen;Awesome Frozen Table;../fake-data/blob/hipster.png;image/png;false;navigate;5
6;Auto Loan Account New Jersey Mount;morph Fantastic Wooden Salad;../fake-data/blob/hipster.png;image/png;true;Home Loan Account;6
7;Forest Analyst Fish;compelling Fantastic Steel Car;../fake-data/blob/hipster.png;image/png;false;Concrete Central Coordinator;7
8;e-business;Metal;../fake-data/blob/hipster.png;image/png;false;Games;8
9;Hawaii Fantastic;National Steel Handcrafted;../fake-data/blob/hipster.png;image/png;true;seize synthesizing applications;9
10;Shirt Metrics;Hat cross-platform RSS;../fake-data/blob/hipster.png;image/png;true;Solutions Money Market Account leading edge;10
