id;name;logo;logo_content_type;contact_info
1;Berkshire deliverables Customer;../fake-data/blob/hipster.png;image/png;interface parsing
2;panel partnerships;../fake-data/blob/hipster.png;image/png;Tasty Wooden Table Uzbekistan Sum Cambridgeshire
3;cross-platform;../fake-data/blob/hipster.png;image/png;Practical Metal Tuna
4;generating framework systematic;../fake-data/blob/hipster.png;image/png;Cambridgeshire
5;cyan;../fake-data/blob/hipster.png;image/png;Devolved
6;Computer;../fake-data/blob/hipster.png;image/png;Avon
7;virtual silver;../fake-data/blob/hipster.png;image/png;French Guiana value-added installation
8;Cuba Wyoming Borders;../fake-data/blob/hipster.png;image/png;green Dynamic microchip
9;Small Intelligent Wooden Bacon Codes specifically reserved for testing purposes;../fake-data/blob/hipster.png;image/png;Central
10;Union compress XML;../fake-data/blob/hipster.png;image/png;Orchestrator Mountain British Indian Ocean Territory (Chagos Archipelago)
