id;item_name;description;image;image_content_type;archived;archive_url;customer_id
1;PICTURE;Generic Innovative Incredible;../fake-data/blob/hipster.png;image/png;false;Rustic Concrete Bacon orchestrate;1
2;ID_CARD;Gorgeous Plastic Computer Kiribati Human;../fake-data/blob/hipster.png;image/png;true;Frozen back-end data-warehouse;2
3;ID_CARD;calculate GB;../fake-data/blob/hipster.png;image/png;false;Strategist;3
4;ID_CARD;Checking Account Bike;../fake-data/blob/hipster.png;image/png;true;parsing reinvent connecting;4
5;PICTURE;revolutionize Cotton fuchsia;../fake-data/blob/hipster.png;image/png;true;Towels Optimization Marshall Islands;2
6;ID_CARD;Wyoming Concrete Tools;../fake-data/blob/hipster.png;image/png;true;compressing;1
7;UTILITY_BILL;application;../fake-data/blob/hipster.png;image/png;false;ADP;4
8;PICTURE;orange copy;../fake-data/blob/hipster.png;image/png;false;Tools Light Credit Card Account;3
9;PICTURE;migration Auto Loan Account;../fake-data/blob/hipster.png;image/png;true;Chief heuristic Nebraska;2
10;ID_CARD;convergence Managed matrix;../fake-data/blob/hipster.png;image/png;false;Credit Card Account THX Planner;1
